Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance
A,100,100,(6 6),(93 6),0.247332,0.2234,0.222406,0.203455,0.211446,0.181547,0.180515,0.174532,0.177552,0.176461,0.199865,313.752
A,100,100,(6 93),(93 6),0.308175,0.283243,0.250369,0.247345,0.247337,0.251318,0.250345,0.246328,0.254285,0.266306,0.260505,403.026
A,100,100,(6 93),(93 93),0.11569,0.11968,0.116688,0.11968,0.117685,0.112699,0.111702,0.114693,0.120677,0.111701,0.116089,318.924
A,100,100,(6 6),(93 93),0.127692,0.127675,0.128649,0.129655,0.125672,0.122664,0.125657,0.126664,0.12267,0.122672,0.125967,373.796
B,100,100,(6 6),(93 6),0.180517,0.169589,0.171543,0.168535,0.170546,0.171554,0.172558,0.170523,0.171497,0.189494,0.173636,331.451
B,100,100,(6 93),(93 6),0.260304,0.264295,0.310174,0.332107,0.292219,0.268317,0.266254,0.256314,0.232409,0.226367,0.270876,422.482
B,100,100,(6 93),(93 93),0.082782,0.081775,0.088757,0.085776,0.08377,0.082787,0.083779,0.083771,0.081784,0.083776,0.0838757,321.853
B,100,100,(6 6),(93 93),0.102725,0.102768,0.102714,0.098704,0.091755,0.098736,0.093749,0.092752,0.09277,0.097722,0.0974395,374.968
A,200,200,(13 13),(186 13),1.43911,1.48007,1.49203,1.48304,1.47306,1.57777,1.51193,1.50497,1.76827,1.55484,1.52851,623.676
A,200,200,(13 186),(186 13),2.17219,2.21707,2.55518,2.62497,2.52828,2.39954,2.69593,2.78412,2.34138,2.33051,2.46492,801.568
A,200,200,(13 186),(186 186),1.0785,1.09861,1.06706,1.0715,1.02642,1.05629,1.06061,1.32682,1.11113,1.06854,1.09655,634.605
A,200,200,(13 13),(186 186),1.21175,1.19713,1.21815,1.2078,1.20906,1.20809,1.21267,1.23652,1.22503,1.20166,1.21279,743.349
B,200,200,(13 13),(186 13),1.59638,1.65559,1.57464,1.52632,1.67836,1.67703,1.69642,1.76686,1.55942,1.5994,1.63304,659.073
B,200,200,(13 186),(186 13),2.41601,2.17062,2.1791,2.3268,2.08108,2.4022,2.22489,2.27222,2.41112,2.19475,2.26788,840.479
B,200,200,(13 186),(186 186),0.732744,0.761078,0.833508,0.79694,0.768942,0.748774,0.767537,0.757173,0.771268,0.746891,0.768485,640.463
B,200,200,(13 13),(186 186),1.03188,0.975675,0.924538,0.92107,0.908109,0.916952,0.924546,0.930399,0.935463,0.915972,0.938461,745.693
A,400,400,(26 26),(373 26),14.7347,14.6351,14.6392,14.7299,15.3596,16.1249,14.9084,16.585,14.547,14.8625,15.1126,1250.94
A,400,400,(26 373),(373 26),22.2231,21.3428,21.144,21.7459,24.1162,22.61,22.4077,22.3474,21.3852,20.9522,22.0274,1607.14
A,400,400,(26 373),(373 373),9.97754,9.98211,10.1437,9.2024,10.4915,9.48959,9.03874,9.31984,10.4163,8.9047,9.69665,1272.21
A,400,400,(26 26),(373 373),11.6767,10.8105,10.48,10.9408,11.2436,11.4484,11.2405,10.9386,10.9039,11.5439,11.1227,1490.94
B,400,400,(26 26),(373 26),15.2546,15.2285,14.1862,13.279,13.7215,14.7113,15.5801,16.0612,14.1419,13.8299,14.5994,1321.49
B,400,400,(26 373),(373 26),19.296,17.9538,17.5917,17.6168,18.0308,17.823,18.8866,18.8674,18.3481,18.0326,18.2447,1684.72
B,400,400,(26 373),(373 373),7.37427,7.12378,6.26297,7.89688,7.6289,6.73492,7.34666,6.64242,6.83524,6.62494,7.0471,1283.93
B,400,400,(26 26),(373 373),8.71698,8.25869,9.07974,8.05894,9.24352,8.95666,8.84699,9.32161,8.53322,7.74624,8.67626,1495.63
A,500,500,(33 33),(466 33),32.362,32.0124,30.6161,32.6627,28.6987,27.3918,28.0001,26.6876,27.7618,27.4187,29.3612,1560.86
A,500,500,(33 466),(466 33),40.0779,41.4432,40.0948,39.7926,39.8046,40.4548,39.7128,39.7368,39.5731,39.4844,40.0175,2005.09
A,500,500,(33 466),(466 466),17.3396,17.3098,17.3226,17.3018,17.2449,17.2498,17.3466,17.2957,17.0465,17.3307,17.2788,1587.31
A,500,500,(33 33),(466 466),19.9905,19.6086,19.9157,20.3147,20.3416,20.3516,20.2878,20.179,20.206,21.636,20.2831,1860.49
B,500,500,(33 33),(466 33),24.8086,25.2794,25.2046,25.0979,25.4579,25.2964,25.4839,25.2664,25.3043,25.2585,25.2458,1648.28
B,500,500,(33 466),(466 33),34.7541,34.1368,34.5057,34.3681,34.1187,34.2464,34.4349,34.0549,34.5825,35.1041,34.4306,2102.71
B,500,500,(33 466),(466 466),12.6861,12.5923,12.4667,12.5375,12.5903,12.2423,15.3639,14.9021,14.608,13.5418,13.3531,1603.36
B,500,500,(33 33),(466 466),15.8466,17.197,16.07,16.077,15.7848,15.7439,15.5325,15.9194,16.2884,16.1528,16.0612,1866.35
A,600,600,(40 40),(560 40),49.7729,49.8866,49.5465,48.4484,48.8065,49.8736,54.3347,50.9927,55.0114,60.0482,51.6722,1873.2
A,600,600,(40 560),(560 40),81.1014,80.387,77.9779,74.9584,73.4476,74.8399,75.9668,76.8106,76.8455,76.8395,76.9175,2408.7
A,600,600,(40 560),(560 560),32.5978,32.4153,32.4073,33.4217,32.2787,31.6464,31.5008,32.0104,32.2936,31.7082,32.228,1908.23
A,600,600,(40 40),(560 560),36.0446,36.1583,36.6799,37.6194,39.2012,37.6682,37.5317,36.7397,36.7018,36.9761,37.1321,2234.29
B,600,600,(40 40),(560 40),46.4897,47.9677,45.4714,44.9009,45.9652,45.9102,46.005,45.5152,48.994,48.934,46.6153,1979.49
B,600,600,(40 560),(560 40),65.5527,64.8148,63.5796,63.4882,63.2409,63.3975,68.0462,62.5656,63.94,64.0966,64.2722,2525.54
B,600,600,(40 560),(560 560),41.5449,23.1481,22.453,21.6721,21.6521,21.4277,21.5733,21.4327,21.337,21.8735,23.8114,1926.39
B,600,600,(40 40),(560 560),27.0716,27.0866,27.0846,26.8691,27.2761,26.9799,26.8971,26.8472,27.297,27.4126,27.0822,2241.91
A,1000,1000,(66 66),(933 66),319.947,289,254.932,303.071,311.764,311.35,268.497,275.069,273.152,296.676,290.346,3125.9
A,1000,1000,(66 933),(933 66),439.821,382.1,417.245,380.427,391.829,371.948,364.316,364.394,365.74,401.322,387.914,4016.18
A,1000,1000,(66 933),(933 933),165.94,190.241,187.331,187.39,177.19,188.468,187.275,166.667,183.884,170.807,180.519,3179.61
A,1000,1000,(66 66),(933 933),207.593,238.909,218.392,235.272,206.409,216.661,208.371,192.004,189.2,210.156,212.297,3725.82
B,1000,1000,(66 66),(933 66),237.512,235.132,235.771,238.148,239.011,241.459,239.8,239.601,325.287,292.234,252.395,3300.15
