Depth,Map,Width,Height,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Nodes
4,A,100,100,0,0.000996,0,0,0,0.000996,0,0,0,0,0.0001992,269
4,A,200,200,0.000997,0.000995,0.000998,0,0.000997,0.001028,0.000993,0,0.000971,0.000997,0.0007976,257
4,A,400,400,0.004988,0.002991,0.002993,0.002993,0.002999,0.002985,0.002991,0.002992,0.002994,0.002991,0.0031917,257
4,A,500,500,0.003988,0.00399,0.003989,0.004988,0.004985,0.002992,0.003989,0.004988,0.002991,0.003989,0.0040889,257
4,A,600,600,0.005984,0.004986,0.004987,0.006981,0.006982,0.004986,0.004987,0.004987,0.005005,0.006962,0.0056847,257
4,A,1000,1000,0.023935,0.021942,0.016993,0.015953,0.023901,0.01895,0.017952,0.016955,0.020943,0.027927,0.0205451,257
4,A,1500,1500,0.046874,0.055853,0.078787,0.043884,0.045875,0.045877,0.043882,0.040891,0.038897,0.039892,0.0480712,257
4,A,3000,3000,0.183509,0.181514,0.182513,0.185504,0.18351,0.204488,0.193448,0.19652,0.178524,0.217372,0.19069,257
4,B,100,100,0.000998,0,0,0.000997,0,0,0,0.000997,0,0,0.0002992,281
4,B,200,200,0.00099,0.000998,0.000997,0.000998,0.000999,0.001002,0.001028,0.00096,0.000997,0.000997,0.0009966,253
4,B,400,400,0.002957,0.003997,0.004016,0.003967,0.002989,0.004988,0.003014,0.002993,0.003958,0.003029,0.0035908,241
4,B,500,500,0.004986,0.005978,0.005988,0.00399,0.006939,0.005021,0.004984,0.00499,0.005984,0.004983,0.0053843,241
4,B,600,600,0.007972,0.006989,0.006976,0.006985,0.006952,0.008013,0.006978,0.006981,0.006977,0.007983,0.0072806,241
4,B,1000,1000,0.025889,0.021942,0.021941,0.024934,0.021973,0.022944,0.021937,0.020948,0.020941,0.020947,0.0224396,241
4,B,1500,1500,0.058841,0.061796,0.049867,0.061834,0.061835,0.051861,0.061834,0.057845,0.064827,0.063829,0.0594369,241
4,B,3000,3000,0.275265,0.285235,0.26533,0.243344,0.23638,0.242339,0.235382,0.243345,0.24136,0.24131,0.250929,237
5,A,100,100,0.000996,0,0,0.001001,0,0,0.000991,0,0,0.000997,0.0003985,601
5,A,200,200,0.001,0.000997,0,0.001968,0.001026,0.000997,0.000995,0.000992,0,0.001003,0.0008978,613
5,A,400,400,0.001997,0.002991,0.002957,0.003978,0.003996,0.003018,0.002991,0.003,0.002985,0.001996,0.0029909,613
5,A,500,500,0.006011,0.004994,0.003985,0.003992,0.003997,0.003987,0.003989,0.004989,0.004956,0.004023,0.0044923,613
5,A,600,600,0.007929,0.006022,0.004987,0.005989,0.005981,0.005983,0.005984,0.006021,0.008966,0.006997,0.0064859,613
5,A,1000,1000,0.016993,0.017949,0.016963,0.017948,0.016909,0.021985,0.018953,0.015953,0.019931,0.023952,0.0187536,613
5,A,1500,1500,0.041889,0.041885,0.041845,0.040934,0.044881,0.042885,0.041893,0.04587,0.041892,0.042886,0.042686,613
5,A,3000,3000,0.210392,0.202459,0.202459,0.197471,0.197472,0.207444,0.199467,0.201461,0.201462,0.195525,0.201561,613
5,B,100,100,0,0.000995,0,0.001,0,0.000997,0,0.000952,0,0.001041,0.0004985,749
5,B,200,200,0.000998,0.000998,0.000997,0.000992,0.001,0.00195,0.000997,0.001038,0.000996,0.001,0.0010966,773
5,B,400,400,0.003991,0.003953,0.004026,0.004984,0.003995,0.003985,0.002995,0.003991,0.004983,0.003992,0.0040895,793
5,B,500,500,0.004984,0.005943,0.006984,0.006025,0.006982,0.005979,0.005943,0.007026,0.005984,0.006977,0.0062827,797
5,B,600,600,0.008974,0.008973,0.010959,0.00899,0.008976,0.009974,0.008977,0.008977,0.007978,0.008931,0.0091709,797
5,B,1000,1000,0.032949,0.03291,0.030883,0.029924,0.027931,0.025936,0.022939,0.025931,0.026883,0.025975,0.0282261,797
5,B,1500,1500,0.071809,0.093748,0.074803,0.066819,0.065825,0.07779,0.071815,0.077785,0.066861,0.05785,0.0725105,793
5,B,3000,3000,0.287187,0.269328,0.249328,0.278217,0.259343,0.270283,0.260305,0.256308,0.248341,0.247337,0.262598,797
6,A,100,100,0.000983,0,0.001013,0,0.000997,0,0.000993,0.000959,0,0.00104,0.0005985,1137
6,A,200,200,0.001996,0.000995,0.000999,0.000994,0.001,0.000994,0.000997,0.001996,0.000999,0.000998,0.0011968,801
6,A,400,400,0.002994,0.002991,0.004981,0.003001,0.002991,0.003993,0.002984,0.002995,0.002992,0.002989,0.0032911,773
6,A,500,500,0.004987,0.004984,0.003988,0.00399,0.004988,0.004982,0.00499,0.004989,0.003986,0.004991,0.0046875,773
6,A,600,600,0.008986,0.006982,0.006981,0.006982,0.007977,0.006985,0.005987,0.005983,0.006979,0.007986,0.0071828,773
6,A,1000,1000,0.01895,0.017953,0.019911,0.01999,0.018955,0.017945,0.017954,0.018946,0.017954,0.018948,0.0187506,773
6,A,1500,1500,0.045868,0.043897,0.044884,0.043881,0.043887,0.043878,0.045836,0.043929,0.043881,0.044835,0.0444776,773
6,A,3000,3000,0.203445,0.204448,0.239326,0.243395,0.210426,0.221408,0.205458,0.205443,0.232342,0.249369,0.221506,777
6,B,100,100,0,0.001012,0.000984,0,0.001039,0.001002,0,0.000997,0.000993,0.001012,0.0007039,1737
6,B,200,200,0.001,0.000998,0.00199,0.001999,0.001994,0.001997,0.001997,0.001987,0.001999,0.001994,0.0017955,1449
6,B,400,400,0.004986,0.00499,0.005979,0.004984,0.004989,0.004992,0.003984,0.005986,0.005949,0.004021,0.005086,1485
6,B,500,500,0.007981,0.006981,0.006974,0.006987,0.006977,0.008935,0.011967,0.015957,0.008976,0.007978,0.0089713,1497
6,B,600,600,0.01097,0.011969,0.011968,0.012966,0.011968,0.013962,0.011968,0.016954,0.013963,0.010961,0.0127649,1453
6,B,1000,1000,0.033899,0.029881,0.031941,0.032935,0.030909,0.030925,0.030906,0.028937,0.027896,0.027953,0.0306182,1569
6,B,1500,1500,0.064815,0.062861,0.068819,0.076748,0.118691,0.135627,0.078822,0.104687,0.078828,0.07381,0.0863708,1553
6,B,3000,3000,0.32912,0.314201,0.322097,0.34408,0.347072,0.357044,0.346076,0.444819,0.360027,0.357047,0.352158,1569
7,A,100,100,0.001009,0.000984,0.000997,0.001012,0.000996,0.000997,0.000998,0.000997,0.001009,0.000997,0.0009996,5357
7,A,200,200,0.001995,0.002992,0.002992,0.002993,0.002993,0.001995,0.001997,0.00299,0.001995,0.001994,0.0024936,2337
7,A,400,400,0.006976,0.007978,0.006982,0.006981,0.005988,0.005983,0.006983,0.005012,0.005978,0.006006,0.0064867,1893
7,A,500,500,0.006981,0.006981,0.007979,0.006981,0.007978,0.006982,0.007979,0.008976,0.008015,0.008975,0.0077827,2017
7,A,600,600,0.009964,0.007974,0.008983,0.010965,0.011972,0.010982,0.011915,0.009974,0.00998,0.010935,0.0103644,1893
7,A,1000,1000,0.024933,0.026928,0.02793,0.025962,0.025929,0.02294,0.024894,0.022975,0.023941,0.021936,0.0248368,1269
7,A,1500,1500,0.06682,0.062864,0.05881,0.060878,0.058802,0.067819,0.065832,0.063821,0.075829,0.062837,0.0644312,1297
7,A,3000,3000,0.258354,0.269236,0.314159,0.266287,0.271317,0.278213,0.278256,0.27231,0.256276,0.274267,0.273868,1281
7,B,100,100,0.000997,0.000998,0.001978,0.000999,0.000996,0.000998,0.001993,0.000998,0.000997,0.000997,0.0011951,7913
7,B,200,200,0.002989,0.002993,0.002991,0.002997,0.003035,0.003027,0.003,0.002949,0.003035,0.002951,0.0029967,3637
7,B,400,400,0.008022,0.00802,0.007988,0.007936,0.008967,0.006997,0.00896,0.006981,0.007979,0.007987,0.0079837,3253
7,B,500,500,0.009974,0.01097,0.011968,0.010971,0.01097,0.009974,0.009973,0.009973,0.009974,0.008976,0.0103723,2745
7,B,600,600,0.012966,0.013962,0.011968,0.013963,0.012965,0.013974,0.011957,0.012965,0.012965,0.012966,0.0130651,2681
7,B,1000,1000,0.031915,0.034908,0.031957,0.032909,0.036905,0.056807,0.047904,0.033913,0.035913,0.033952,0.0377083,2637
7,B,1500,1500,0.070814,0.069812,0.071805,0.071806,0.069817,0.070808,0.071767,0.071852,0.074801,0.070808,0.071409,2533
7,B,3000,3000,0.375952,0.386964,0.361036,0.324177,0.30718,0.312163,0.307185,0.349051,0.347083,0.308171,0.337896,2565
